skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon,canton
Tschappina,,Tschappina,25.0,4.0,21.0,0.0,1580,2180,600,7,36.0,38.0,2.7,46.743961334228516,9.071603775024414,GR
Wolzenalp,Krummenau,Krummenau,12.2,0.2,9.0,3.0,728,1464,736,6,38.0,41.0,2.7,47.25233840942383,9.166143417358398,SG
Pischa,,Pischa,0.0,0.0,0.0,0.0,1800,2483,683,1,,,2.7,46.809322357177734,9.919135093688965,GR
Schwanden,Sigriswil,Sigriswil,20.0,11.0,6.0,3.0,1070,1460,390,3,32.0,34.0,2.6,46.71548843383789,7.7073073387146,BE
Ebenalp,Wasserauen,Wasserauen,10.0,1.0,7.5,1.5,848,1720,872,7,38.0,41.0,2.6,47.276275634765625,9.391256332397461,AI
Grimmialp,,Grimmialp,7.2,3.0,1.4,2.8,1233,1833,600,3,42.0,45.0,2.6,46.575645446777344,7.486373424530029,BE
Kiental,,Kiental,7.0,2.0,5.0,0.0,926,1490,564,3,20.0,21.0,2.6,46.58408737182617,7.7226972579956055,BE
Les Rasses,Sainte-Croix,Sainte-Croix,20.0,10.0,10.0,0.0,1142,1565,423,9,35.0,37.0,2.6,47.392662048339844,7.069855213165283,JU
Jeizinen Feselalp,Gampel,Gampel,8.0,6.0,2.0,0.0,1519,2193,674,6,46.0,49.0,2.6,47.01980209350586,8.901203155517578,SZ
Schatzalp,Strela,Strela,7.8,6.1,1.7,0.0,1609,2352,743,4,43.0,46.0,2.6,46.8344612121582,9.558746337890625,GR
Biel-Kinzig,Bürglen,Bürglen,7.0,2.5,4.5,0.0,1630,1930,300,5,40.0,43.0,2.6,46.96928787231445,8.769762992858887,SZ
Espace Super Saint-Bernard,Bourg-St-Pierre,Bourg-St-Pierre,15.0,3.0,0.0,12.0,1950,2800,850,3,38.0,41.0,,45.89531326293945,7.182081699371338,VS
Rüschegg-Eywald,Lischboden,Lischboden,13.0,8.0,4.0,1.0,1050,1550,500,2,38.0,41.0,2.6,46.7418212890625,7.424880504608154,BE
Niederhorn,Beatenberg,Beatenberg,5.0,2.0,3.0,0.0,1127,1945,818,3,42.0,45.0,2.6,46.6885986328125,7.814966678619385,BE
Mörlialp,Giswil,Giswil,12.0,2.8,7.2,2.0,1355,1837,482,8,45.0,48.0,2.6,46.86353302001953,8.155722618103027,OW
Eggberge,Altdorf,Altdorf,8.0,4.0,4.0,0.0,1460,1740,280,2,32.0,34.0,2.6,46.88406753540039,8.638408660888672,UR
Languard,Pontresina,Pontresina,1.0,1.0,0.0,0.0,1830,1920,90,5,35.0,37.0,2.6,46.50184631347656,9.892767906188965,GR
Tramelan,,Tramelan,14.0,6.0,6.0,2.0,920,1228,308,3,32.0,34.0,2.6,47.220829010009766,7.106607913970947,BE
Fideriser Heuberge,Fideris,Fideris,15.0,5.0,9.0,1.0,1952,2356,404,4,46.0,49.0,2.6,46.91518020629883,9.740965843200684,GR
Schwefelberg,Badmatte,Badmatte,7.0,5.0,0.0,2.0,1386,1704,318,1,28.0,30.0,2.6,47.034629821777344,7.626102924346924,BE
Atzmännig,Goldingen,Goldingen,8.0,3.0,5.0,0.0,821,1198,377,5,35.0,37.0,2.5,47.26345443725586,8.966582298278809,SG
Rigi,Scheidegg,Scheidegg,5.0,5.0,0.0,0.0,1012,1656,644,5,34.0,36.0,2.5,47.3007926940918,9.35722827911377,AI
La Forclaz,,La Forclaz,15.0,8.0,7.0,0.0,1730,2200,470,3,28.0,30.0,2.5,46.05531692504883,7.004912376403809,VS
